2024-02-12 22:32:24.809 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.1
2024-02-12 22:32:24.809 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 4
2024-02-12 22:32:24.810 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.2
2024-02-12 22:32:24.810 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 5
2024-02-12 22:32:24.810 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.3
2024-02-12 22:32:24.810 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 6
2024-02-12 22:32:24.810 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.4
2024-02-12 22:32:24.810 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 7
2024-02-12 22:32:24.811 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.5
2024-02-12 22:32:24.811 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 8
2024-02-12 22:32:24.811 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.6
2024-02-12 22:32:24.811 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 9
2024-02-12 22:32:24.811 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.7
2024-02-12 22:32:24.811 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 10
2024-02-12 22:32:24.812 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.8
2024-02-12 22:32:24.812 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 11
2024-02-12 22:32:24.812 [AWT-EventQueue-0] WARN  ModifiedQueue@699373418 - take too long net.home.main.simple.TestScreen$$Lambda$254/0x0000000800e07178@6e466f58
2024-02-12 22:32:24.812 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.9
2024-02-12 22:32:24.812 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 12
2024-02-12 22:32:24.812 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 13
2024-02-12 22:32:24.813 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 14
2024-02-12 22:32:24.813 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 15
2024-02-12 22:32:46.527 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:32:46.528 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:32:46.528 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:32:46.528 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:32:46.528 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:32:46.529 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 1
2024-02-12 22:32:46.529 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.1
2024-02-12 22:32:46.529 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 2
2024-02-12 22:32:46.529 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.2
2024-02-12 22:32:46.529 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 3
2024-02-12 22:32:46.530 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.3
2024-02-12 22:32:46.530 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 4
2024-02-12 22:32:46.530 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.4
2024-02-12 22:32:46.530 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 5
2024-02-12 22:32:46.530 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.5
2024-02-12 22:32:46.530 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 6
2024-02-12 22:32:46.531 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.6
2024-02-12 22:32:46.531 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 7
2024-02-12 22:32:46.531 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.7
2024-02-12 22:32:46.531 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 8
2024-02-12 22:32:46.531 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.8
2024-02-12 22:32:46.531 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 9
2024-02-12 22:32:46.532 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.9
2024-02-12 22:32:46.532 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 10
2024-02-12 22:32:46.532 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.10
2024-02-12 22:32:46.532 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 11
2024-02-12 22:32:46.532 [AWT-EventQueue-0] WARN  ModifiedQueue@1415946364 - take too long net.home.main.simple.TestScreen$$Lambda$257/0x0000000800e07800@76f3930c
2024-02-12 22:32:46.532 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.11
2024-02-12 22:32:46.533 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 12
2024-02-12 22:32:46.533 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 13
2024-02-12 22:32:46.533 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 14
2024-02-12 22:32:46.533 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 15
2024-02-12 22:33:05.790 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:33:05.791 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:33:05.791 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:33:05.791 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:33:05.791 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:33:05.792 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 1
2024-02-12 22:33:05.793 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.1
2024-02-12 22:33:05.793 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 2
2024-02-12 22:33:05.793 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.2
2024-02-12 22:33:05.793 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 3
2024-02-12 22:33:05.793 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.3
2024-02-12 22:33:05.794 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 4
2024-02-12 22:33:05.794 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.4
2024-02-12 22:33:05.794 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 5
2024-02-12 22:33:05.794 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.5
2024-02-12 22:33:05.794 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 6
2024-02-12 22:33:05.794 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.6
2024-02-12 22:33:05.794 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 7
